# Paires à ne pas confondre (story 1.6, export ; jeux 4b.2 et 4b.3).
#
# Source : docs/jeux.md, « La coquille » et « Les jumeaux » — caractères que la
# maquette et le brief donnent comme confondus par les débutants. Ce sont des
# faits de forme, pas un texte repris d'une source tierce.
#
# Usage : leurres par ressemblance (épic 3.2), intrus de « La coquille »,
# couples des « Jumeaux ». L'export ne garde que les groupes dont tous les
# caractères sont dans le périmètre de la version.
#
# Format : `#` en commentaire, un groupe par ligne, caractères séparés par une
# espace ou une tabulation, au moins deux par groupe.
#
己	已	巳
未	末
天	夫
日	曰
人	入
土	士
王	玉	主
